,Phoenix Trades - 25K-75K Challenge,,,,,,,,,,,,,,
Trade #,Ticker,Trade Enter,Trade Exit,Exp Date,Strike,C/P,Initial Contracts,# of Contracts,Average Cost/Option,$ Average Cost,Market Value,% Gain,$ Gain,Open/Closed,Notes
155,TSLA,18-Jul,23-Jul,17-Oct,265,P,1,1,$905.00 ,$905.00 ,$800.00 ,-11.60%,($105.00),closed,"Added 1 on 7/18 @ 9.05, sold 1 on 7/21 @ 8.85"
156,AMZN,18-Jul,28-Jul,16-Jan,210,C,1,1,"$3,095.00 ","$3,095.00 ","$3,495.00 ",12.92%,$400.00 ,closed,
157,GOOG,18-Jul,22-Jul,16-Jan,190,C,2,2,"$1,595.00 ","$3,190.00 ","$3,850.00 ",20.69%,$660.00 ,closed,
158,UNH,18-Jul,28-Jul,16-Jan,280,C,1,1,"$3,645.00 ","$3,645.00 ","$3,610.00 ",-0.96%,($35.00),closed,
159,UNH,18-Jul,22-Jul,16-Jan,220,P,1,1,$975.00 ,$975.00 ,$895.00 ,-8.21%,($80.00),closed,
160,PLTR,18-Jul,1-Aug,19-Sep,160,P,3,1,"$1,845.00 ","$1,845.00 ","$1,655.00 ",-10.30%,($190.00),closed,"sold 1 on 7/22 @ 22.25, sold 1 on 8/1 @ 15.7"
161,PLTR,18-Jul,25-Jul,15-Aug,150,C,1,1,"$1,320.00 ","$1,320.00 ","$1,560.00 ",18.18%,$240.00 ,closed,
162,QQQ,18-Jul,29-Jul,17-Oct,570,P,2,4,"$1,989.50 ","$7,958.00 ","$6,480.00 ",-18.57%,"($1,478.00)",closed,Added 2 on 7/25 @ 17.69
163,BABA,18-Jul,1-Aug,17-Oct,115,C,3,2,"$1,255.00 ","$2,510.00 ","$1,890.00 ",-24.70%,($620.00),closed,sold 1 on 7/25 @ 12.2
164,BABA,18-Jul,25-Jul,19-Sep,125,P,1,1,"$1,035.00 ","$1,035.00 ",$975.00 ,-5.80%,($60.00),closed,
165,SG,21-Jul,23-Jul,17-Oct,13,C,7,7,$295.00 ,"$2,065.00 ","$3,150.00 ",52.54%,"$1,085.00 ",closed,
166,DKNG,21-Jul,29-Jul,19-Sep,42,C,4,3,$475.00 ,"$1,425.00 ","$1,275.00 ",-10.53%,($150.00),closed,sold 1 on 7/24 @ 4.85
167,CVNA,21-Jul,28-Jul,15-Aug,327.5,P,1,1,"$2,047.50 ","$2,047.50 ","$1,930.00 ",-5.74%,($117.50),closed,"Added 1 on 7/21 @ 20.5, sold 1 on 7/25 @ 23.3"
168,TSLA,21-Jul,23-Jul,16-Jan,320,C,1,1,"$5,680.00 ","$5,680.00 ","$5,755.00 ",1.32%,$75.00 ,closed,
169,CVNA,21-Jul,24-Jul,25-Jul,342.5,C,1,1,$700.00 ,$700.00 ,$255.00 ,-63.57%,($445.00),closed,
170,TGT,21-Jul,1-Aug,19-Sep,95,C,2,2,"$1,192.50 ","$2,385.00 ","$1,700.00 ",-28.72%,($685.00),closed,"sold 1 on 7/23 @ 14.8, Added 1 on 7/28 @ 13.25"
171,SLV,21-Jul,28-Jul,15-Aug,37,P,2,2,$204.00 ,$408.00 ,$504.00 ,23.53%,$96.00 ,closed,
172,QBTS,22-Jul,29-Jul,19-Sep,15,C,5,2,$410.00 ,$820.00 ,$860.00 ,4.88%,$40.00 ,closed,"sold 2 on 7/23 @ 5.35, sold 1 on 7/24 @ 6.25"
173,RDDT,22-Jul,25-Jul,19-Sep,140,C,1,1,"$2,125.00 ","$2,125.00 ","$2,235.00 ",5.18%,$110.00 ,closed,
174,DOCU,22-Jul,29-Jul,19-Sep,75,C,2,2,$995.00 ,"$1,990.00 ","$1,750.00 ",-12.06%,($240.00),closed,
175,LUNR,23-Jul,29-Jul,19-Sep,11,C,6,4,$315.00 ,"$1,260.00 ",$988.00 ,-21.59%,($272.00),closed,sold 2 on 7/24@ 3.45
176,GOOGL,23-Jul,26-Jul,16-Jan,185,C,1,1,"$2,045.00 ","$2,045.00 ","$2,050.00 ",0.24%,$5.00 ,closed,
177,RDDT,23-Jul,25-Jul,25-Jul,148,P,1,1,$365.00 ,$365.00 ,$25.00 ,-93.15%,($340.00),closed,
178,META,23-Jul,25-Jul,17-Oct,700,C,1,1,"$5,400.00 ","$5,400.00 ","$5,425.00 ",0.46%,$25.00 ,closed,
179,META,23-Jul,25-Jul,15-Aug,680,P,1,1,"$1,420.00 ","$1,420.00 ","$1,130.00 ",-20.42%,($290.00),closed,
180,TSLA,24-Jul,1-Aug,16-Jan,350,C,1,1,"$2,910.00 ","$2,910.00 ","$2,750.00 ",-5.50%,($160.00),closed,
181,SPY,24-Jul,25-Jul,1-Aug,637,P,2,2,$550.00 ,"$1,100.00 ",$790.00 ,-28.18%,($310.00),closed,
182,PLTR,25-Jul,28-Jul,1-Aug,160,C,1,1,$315.00 ,$315.00 ,$200.00 ,-36.51%,($115.00),closed,
183,RDDT,25-Jul,29-Jul,19-Sep,150,C,1,1,"$1,740.00 ","$1,740.00 ","$1,440.00 ",-17.24%,($300.00),closed,
184,META,25-Jul,28-Jul,16-Jan,780,C,1,1,"$4,135.00 ","$4,135.00 ","$3,995.00 ",-3.39%,($140.00),closed,
185,BABA,25-Jul,28-Jul,8-Aug,120,P,1,1,$320.00 ,$320.00 ,$202.00 ,-36.88%,($118.00),closed,
186,WMT,25-Jul,8-Aug,19-Sep,95,C,4,1,$530.00 ,$530.00 ,"$1,005.00 ",89.62%,$475.00 ,closed,"sold 1 on 7/31 @ 5.5, sold 2 on 8/6 @ 9.35"
187,COST,28-Jul,1-Aug,19-Sep,920,C,1,1,"$4,100.00 ","$4,100.00 ","$5,160.00 ",25.85%,"$1,060.00 ",closed,
188,COIN,28-Jul,29-Jul,19-Sep,370,C,1,1,"$3,950.00 ","$3,950.00 ","$3,870.00 ",-2.03%,($80.00),closed,
189,IOT,28-Jul,29-Jul,19-Sep,38,C,4,4,$520.00 ,"$2,080.00 ","$1,640.00 ",-21.15%,($440.00),closed,
190,AMZN,28-Jul,4-Aug,16-Jan,225,C,3,2,"$2,520.00 ","$5,040.00 ","$2,740.00 ",-45.63%,"($2,300.00)",closed,sold 1 on 7/31 @ 26
191,AMZN,28-Jul,29-Jul,8-Aug,235,P,1,1,$790.00 ,$790.00 ,$980.00 ,24.05%,$190.00 ,closed,
192,COST,28-Jul,29-Jul,1-Aug,925,P,1,1,$425.00 ,$425.00 ,$115.00 ,-72.94%,($310.00),Closed,
193,SMCI,28-Jul,29-Jul,19-Sep,55,C,2,2,$880.00 ,"$1,760.00 ","$1,940.00 ",10.23%,$180.00 ,closed,
194,NVDA,28-Jul,29-Jul,8-Aug,175,C,4,4,$445.00 ,"$1,780.00 ","$2,320.00 ",30.34%,$540.00 ,closed,
195,MU,29-Jul,1-Aug,17-Oct,110,C,4,2,"$1,125.00 ","$2,250.00 ","$1,550.00 ",-31.11%,($700.00),closed,sold 2 on 10/31 @ 10.2
196,COIN,29-Jul,1-Aug,16-Jan,450,C,1,1,"$3,875.00 ","$3,875.00 ","$1,655.00 ",-57.29%,"($2,220.00)",closed,
198,GOOG,29-Jul,31-Jul,16-Jan,190,C,2,2,"$1,935.00 ","$3,870.00 ","$3,710.00 ",-4.13%,($160.00),closed,
199,MU,29-Jul,31-Jul,8-Aug,114,P,1,1,$415.00 ,$415.00 ,$485.00 ,16.87%,$70.00 ,closed,
200,SMCI,29-Jul,31-Jul,15-Aug,57,C,4,4,$525.00 ,"$2,100.00 ","$2,240.00 ",6.67%,$140.00 ,closed,
201,SMCI,29-Jul,31-Jul,1-Aug,59,P,2,2,$210.00 ,$420.00 ,$200.00 ,-52.38%,($220.00),closed,
202,QQQ,30-Jul,31-Jul,29-Aug,580,P,2,2,"$1,392.00 ","$2,784.00 ","$2,850.00 ",2.37%,$66.00 ,closed,
203,NTNX,30-Jul,1-Aug,19-Sep,75,C,5,4,$710.00 ,"$2,840.00 ","$1,680.00 ",-40.85%,"($1,160.00)",closed,sold 1 on 7/31 @ 5.9
204,AAPL,30-Jul,1-Aug,8-Aug,212.5,P,2,1,$760.00 ,$760.00 ,$915.00 ,20.39%,$155.00 ,closed,
205,AAPL,30-Jul,31-Jul,8-Aug,205,C,1,1,$745.00 ,$745.00 ,$775.00 ,4.03%,$30.00 ,closed,
207,META,31-Jul,1-Aug,16-Jan,620,P,1,1,"$1,100.00 ","$1,100.00 ","$1,515.00 ",37.73%,$415.00 ,closed,
208,QQQ,31-Jul,1-Aug,4-Aug,572,P,1,1,$415.00 ,$415.00 ,"$1,600.00 ",285.54%,"$1,185.00 ",closed,
209,COST,31-Jul,1-Aug,19-Sep,890,P,1,1,$980.00 ,$980.00 ,$850.00 ,-13.27%,($130.00),closed,
210,COIN,31-Jul,1-Aug,16-Jan,250,P,1,1,"$1,000.00 ","$1,000.00 ","$1,550.00 ",55.00%,$550.00 ,closed,
211,AMZN,31-Jul,1-Aug,8-Aug,230,P,1,1,$530.00 ,$530.00 ,"$1,220.00 ",130.19%,$690.00 ,closed,
213,TSLA,31-Jul,1-Aug,16-Jan,210,P,1,1,$710.00 ,$710.00 ,$815.00 ,14.79%,$105.00 ,closed,
214,NTNX,31-Jul,1-Aug,19-Sep,77.5,P,1,1,$630.00 ,$630.00 ,$800.00 ,26.98%,$170.00 ,closed,
215,NFLX,31-Jul,4-Aug,16-Jan,860,P,1,1,"$1,035.00 ","$1,035.00 ","$1,040.00 ",0.48%,$5.00 ,closed,
216,TGT,31-Jul,1-Aug,8-Aug,101,P,1,1,$189.00 ,$189.00 ,$273.00 ,44.44%,$84.00 ,closed,
217,WMT,31-Jul,6-Aug,8-Aug,99,P,1,1,$159.00 ,$159.00 ,$5.00 ,-96.86%,($154.00),closed,
218,SMCI,31-Jul,5-Aug,19-Sep,55,C,1,1,$925.00 ,$925.00 ,$800.00 ,-13.51%,($125.00),closed,
219,SNOW,31-Jul,1-Aug,19-Sep,230,C,1,1,"$1,435.00 ","$1,435.00 ",$775.00 ,-45.99%,($660.00),closed,
220,BABA,31-Jul,,8-Aug,120,P,1,1,$232.00 ,$232.00 ,$490.00 ,111.21%,$258.00 ,Closed,
221,MU,31-Jul,1-Aug,8-Aug,107,P,1,1,$225.00 ,$225.00 ,$480.00 ,113.33%,$255.00 ,closed,
222,QQQ,1-Aug,6-Aug,29-Aug,554,P,2,1,"$1,192.00 ","$1,192.00 ",$503.00 ,-57.80%,($689.00),closed,sold 1 on 8/5 @ 6.79
223,QQQ,1-Aug,4-Aug,29-Aug,554,C,1,1,"$1,310.00 ","$1,310.00 ","$1,720.00 ",31.30%,$410.00 ,closed,
224,META,1-Aug,6-Aug,17-Oct,685,P,1,1,"$1,370.00 ","$1,370.00 ","$1,015.00 ",-25.91%,($355.00),closed,
225,AMZN,1-Aug,4-Aug,17-Oct,195,P,1,1,$420.00 ,$420.00 ,$335.00 ,-20.24%,($85.00),closed,
227,AAPL,1-Aug,6-Aug,17-Oct,190,P,1,2,$423.33 ,$846.66 ,$480.00 ,-43.31%,($366.66),closed,"Added 2 on 8/4 @ 3.75, sold 1 on 8/5 @ 4"
228,SMCI,1-Aug,6-Aug,16-Jan,53,C,2,2,"$1,255.00 ","$2,510.00 ","$1,350.00 ",-46.22%,"($1,160.00)",closed,
229,SMCI,1-Aug,4-Aug,16-Jan,45,P,1,1,$485.00 ,$485.00 ,$415.00 ,-14.43%,($70.00),closed,
231,PLTR,1-Aug,6-Aug,16-Jan,150,P,2,1,"$2,030.00 ","$2,030.00 ","$1,210.00 ",-40.39%,($820.00),closed,sold 1 on 8/5 @ 13.3
232,PLTR,1-Aug,5-Aug,17-Oct,170,C,1,1,"$1,105.00 ","$1,105.00 ","$1,870.00 ",69.23%,$765.00 ,closed,
233,SLV,1-Aug,6-Aug,17-Oct,34.5,P,3,3,$198.00 ,$594.00 ,$438.00 ,-26.26%,($156.00),closed,
235,TSLA,1-Aug,6-Aug,17-Oct,260,P,1,1,"$1,055.00 ","$1,055.00 ",$620.00 ,-41.23%,($435.00),closed,
236,BABA,1-Aug,6-Aug,8-Aug,116,P,1,1,$210.00 ,$210.00 ,$24.00 ,-88.57%,($186.00),closed,
237,NFLX,4-Aug,8-Aug,17-Oct,1030,P,1,1,"$1,890.00 ","$1,890.00 ","$1,540.00 ",-18.52%,($350.00),closed,
238,GOOG,4-Aug,6-Aug,17-Oct,185,P,1,1,$510.00 ,$510.00 ,$455.00 ,-10.78%,($55.00),closed,
239,SMCI,4-Aug,6-Aug,17-Oct,55,P,1,1,$560.00 ,$560.00 ,"$1,080.00 ",92.86%,$520.00 ,closed,
240,HIMS,4-Aug,5-Aug,17-Oct,60,C,1,1,"$1,255.00 ","$1,255.00 ",$780.00 ,-37.85%,($475.00),closed,
241,HOOD,4-Aug,6-Aug,17-Oct,105,C,1,1,"$1,255.00 ","$1,255.00 ","$1,115.00 ",-11.16%,($140.00),closed,
242,GOOGL,5-Aug,6-Aug,17-Oct,190,C,3,3,"$1,305.00 ","$3,915.00 ","$4,305.00 ",9.96%,$390.00 ,closed,
243,GOOGL,5-Aug,6-Aug,29-Aug,200,P,1,1,$910.00 ,$910.00 ,$775.00 ,-14.84%,($135.00),closed,
244,AVGO,6-Aug,7-Aug,17-Oct,300,C,2,1,"$2,205.00 ","$2,205.00 ","$2,470.00 ",12.02%,$265.00 ,closed,sold 1 on 8/7 @ 29.85
245,AVGO,6-Aug,7-Aug,29-Aug,290,P,1,1,$875.00 ,$875.00 ,$705.00 ,-19.43%,($170.00),closed,
246,AAPL,6-Aug,7-Aug,29-Aug,210,P,1,2,$402.50 ,$805.00 ,$548.00 ,-31.93%,($257.00),closed,Added 1 on 8/6 @ 3.95
247,TSLA,6-Aug,7-Aug,19-Sep,300,P,1,1,"$1,140.00 ","$1,140.00 ","$1,060.00 ",-7.02%,($80.00),closed,
248,META,6-Aug,7-Aug,19-Sep,720,P,1,1,"$1,060.00 ","$1,060.00 ","$1,215.00 ",14.62%,$155.00 ,closed,
249,GOOG,6-Aug,11-Aug,19-Sep,200,P,1,1,$885.00 ,$885.00 ,$665.00 ,-24.86%,($220.00),closed,
250,AAPL,6-Aug,7-Aug,17-Oct,215,C,3,3,"$1,000.00 ","$3,000.00 ","$3,675.00 ",22.50%,$675.00 ,closed,
251,AAPL,6-Aug,7-Aug,19-Sep,215,P,2,2,$760.00 ,"$1,520.00 ","$1,220.00 ",-19.74%,($300.00),closed,
252,AAPL,7-Aug,11-Aug,19-Sep,220,P,3,2,$760.00 ,"$1,520.00 ",$810.00 ,-46.71%,($710.00),closed,sold 1 on 8/8 @ 3.9
253,AAPL,7-Aug,8-Aug,19-Sep,215,C,1,1,"$1,015.00 ","$1,015.00 ","$1,640.00 ",61.58%,$625.00 ,closed,
255,QQQ,7-Aug,8-Aug,19-Sep,576,C,1,1,"$1,265.00 ","$1,265.00 ","$1,300.00 ",2.77%,$35.00 ,closed,
258,TSLA,7-Aug,8-Aug,29-Aug,315,P,1,1,"$1,105.00 ","$1,105.00 ",$720.00 ,-34.84%,($385.00),closed,
260,TSLA,8-Aug,11-Aug,19-Sep,315,P,2,2,"$1,250.00 ","$2,500.00 ","$1,700.00 ",-32.00%,($800.00),closed,
261,TSLA,8-Aug,11-Aug,19-Sep,350,C,1,1,"$1,340.00 ","$1,340.00 ","$1,875.00 ",39.93%,$535.00 ,closed,
263,MSFT,8-Aug,11-Aug,29-Aug,520,P,1,1,$860.00 ,$860.00 ,$775.00 ,-9.88%,($85.00),closed,
267,TSLA,11-Aug,12-Aug,29-Aug,340,P,2,2,"$1,260.00 ","$2,520.00 ","$3,200.00 ",26.98%,$680.00 ,closed,
268,TSLA,11-Aug,12-Aug,29-Aug,347.5,C,1,1,"$1,230.00 ","$1,230.00 ",$820.00 ,-33.33%,($410.00),closed,
254,QQQ,7-Aug,12-Aug,19-Sep,575,P,2,1,"$1,221.00 ","$1,221.00 ",$965.00 ,-20.97%,($256.00),closed,"Added 1 on 8/11 @ 11.33, sold 1 on 8/12 @ 10.15, sold 1 on 8/12 @ 9.85"
234,TSLA,1-Aug,12-Aug,16-Jan,300,C,1,2,"$5,095.00 ","$10,190.00 ","$13,840.00 ",35.82%,"$3,650.00 ",closed,Added 1 on 8/7 @ 55.8
257,BABA,7-Aug,12-Aug,29-Aug,120,P,1,1,$505.00 ,$505.00 ,$360.00 ,-28.71%,($145.00),closed,
262,MSFT,8-Aug,12-Aug,17-Oct,520,C,2,1,"$2,000.00 ","$2,000.00 ","$2,480.00 ",24.00%,$480.00 ,closed,Sold 1 on 8/11 @ 20.5
269,MSFT,11-Aug,12-Aug,29-Aug,512.5,P,1,1,$520.00 ,$520.00 ,$274.00 ,-47.31%,($246.00),closed,
197,NFLX,29-Jul,13-Aug,16-Jan,1360,C,1,1,"$3,982.50 ","$3,982.50 ","$5,270.00 ",32.33%,"$1,287.50 ",closed,"Added 1 on 8/4 @ 38.75, sold 1 on 8/7 @ 42"
212,GOOG,31-Jul,13-Aug,16-Jan,180,C,1,1,"$2,602.50 ","$2,602.50 ","$3,275.00 ",25.84%,$672.50 ,closed,"Added 1 on 8/6 @ 27.4, sold 1 on 8/8 @ 30.8"
266,NFLX,11-Aug,13-Aug,29-Aug,1135,P,1,1,$520.00 ,$520.00 ,$345.00 ,-33.65%,($175.00),closed,
265,GOOG,11-Aug,13-Aug,29-Aug,195,P,1,1,$310.00 ,$310.00 ,$232.00 ,-25.16%,($78.00),closed,
273,NVDA,12-Aug,13-Aug,19-Sep,180,C,2,2,"$1,095.00 ","$2,190.00 ","$2,190.00 ",0.00%,$0.00 ,closed,
270,META,12-Aug,13-Aug,19-Sep,800,C,1,1,"$1,920.00 ","$1,920.00 ","$2,250.00 ",17.19%,$330.00 ,closed,
272,TSLA,12-Aug,13-Aug,19-Sep,355,C,1,1,"$1,255.00 ","$1,255.00 ","$1,660.00 ",32.27%,$405.00 ,closed,
259,META,7-Aug,13-Aug,29-Aug,735,P,1,2,$860.00 ,"$1,720.00 ",$640.00 ,-62.79%,"($1,080.00)",closed,Added1 on 8/8 @ 7.75
276,QQQ,12-Aug,13-Aug,18-Aug,577,P,3,3,$305.00 ,$915.00 ,$585.00 ,-36.07%,($330.00),closed,
279,BABA,12-Aug,13-Aug,15-Aug,122,P,2,2,$208.00 ,$416.00 ,$88.00 ,-78.85%,($328.00),closed,
281,MSFT,12-Aug,13-Aug,15-Aug,527.5,P,1,1,$282.00 ,$282.00 ,$635.00 ,125.18%,$353.00 ,closed,
10,SLV,19-May,14-Aug,16-Jan,28,C,6,2,$611.67 ,"$1,223.33 ","$1,410.00 ",15.26%,$186.67 ,closed,"sold 1 on 7/11 @ 7.65, sold 2 on 7/14 @ 7.15, Added 2 on 7/21 @ 7.9, sold 1 on 7/28 @ 7.05, sold 3 on 8/14 @ 7.07"
226,AAPL,1-Aug,14-Aug,16-Jan,195,C,2,1,"$2,080.00 ","$2,080.00 ","$4,370.00 ",110.10%,"$2,290.00 ",closed,sold 1 on 8/7 @ 31.9
230,BABA,1-Aug,14-Aug,16-Jan,120,C,2,1,"$1,305.00 ","$1,305.00 ","$1,470.00 ",12.64%,$165.00 ,closed,"Added 2 on 8/7 @ 13.35, sold 1 on 8/12 @ 13.35, Added 1 on 8/12 @ 14.7, sold 2 on 8/13 @ 17.35, sold 1 on 8/14 @ 15.35"
256,UNH,7-Aug,14-Aug,16-Jan,250,C,1,1,"$2,420.00 ","$2,420.00 ","$4,100.00 ",69.42%,"$1,680.00 ",closed,
264,AAPL,11-Aug,14-Aug,29-Aug,225,P,1,1,$415.00 ,$415.00 ,$212.00 ,-48.92%,($203.00),closed,
271,TSLA,12-Aug,14-Aug,19-Sep,345,P,1,1,"$2,500.00 ","$2,500.00 ","$2,240.00 ",-10.40%,($260.00),closed,
274,FSLR,12-Aug,14-Aug,19-Sep,185,C,2,2,"$1,430.00 ","$2,860.00 ","$1,930.00 ",-32.52%,($930.00),closed,
275,FSLR,12-Aug,14-Aug,15-Aug,187.5,P,1,1,$380.00 ,$380.00 ,$800.00 ,110.53%,$420.00 ,closed,
277,TSLA,12-Aug,14-Aug,16-Jan,340,C,2,2,"$4,870.00 ","$9,740.00 ","$9,430.00 ",-3.18%,($310.00),closed,
278,PDD,12-Aug,14-Aug,17-Oct,115,C,2,2,$940.00 ,"$1,880.00 ","$1,620.00 ",-13.83%,($260.00),closed,"Added 2 on 8/13 @ 9.3, sold 2 on 8/14 @ 8.25"
280,MSFT,12-Aug,14-Aug,19-Sep,525,C,2,2,"$1,600.00 ","$3,200.00 ","$2,500.00 ",-21.88%,($700.00),closed,
282,NTNX,12-Aug,14-Aug,19-Sep,65,C,3,3,$750.00 ,"$2,250.00 ","$2,040.00 ",-9.33%,($210.00),closed,
283,NVDA,13-Aug,14-Aug,19-Sep,180,C,5,5,"$1,000.00 ","$5,000.00 ","$5,600.00 ",12.00%,$600.00 ,closed,
284,NVDA,13-Aug,14-Aug,22-Aug,180,P,2,2,$375.00 ,$750.00 ,$512.00 ,-31.73%,($238.00),closed,
285,BABA,13-Aug,14-Aug,15-Aug,126,P,1,1,$195.00 ,$195.00 ,$410.00 ,110.26%,$215.00 ,closed,
286,META,13-Aug,14-Aug,29-Aug,770,P,1,1,"$1,070.00 ","$1,070.00 ",$925.00 ,-13.55%,($145.00),closed,
287,IWM,13-Aug,14-Aug,17-Oct,228,C,3,3,"$1,031.00 ","$3,093.00 ","$2,505.00 ",-19.01%,($588.00),closed,
288,IWM,13-Aug,14-Aug,29-Aug,231,P,2,2,$372.00 ,$744.00 ,"$1,090.00 ",46.51%,$346.00 ,closed,
289,QQQ,13-Aug,14-Aug,19-Sep,585,P,2,2,"$1,215.00 ","$2,430.00 ","$2,430.00 ",0.00%,$0.00 ,closed,
206,META,31-Jul,14-Aug,16-Jan,850,C,1,1,"$3,708.89 ","$3,708.89 ","$4,120.00 ",11.08%,$411.11 ,closed,"Added 1 on 8/1 @ 31.25, sold 1 on 8/7 @ 37.25, Added 1 on 8/7 @ 34.75, Added 1 on 8/8 @ 34.4, sold 1 on 8/12 @ 42.8, Added 1 on 8/13 @ 40.85, sold 2 on 8/14 @ 40.45"
290,FSLR,2025-08-14,2025-08-18,2025-10-17,175,C,3,1,19.4,1940,4600,5700,293.81,Closed,"Added 3 on 8/14 @ 19.40, Sold 2 on 8/15 @ 34.60, Sold 1 on 8/18 @ 46.00"
291,FSLR,2025-08-14,2025-08-18,2025-08-29,180,P,1,1,9.25,925,60,-865,-93.51,Closed,"Added 1 on 8/14 @ 9.25, Sold 1 on 8/18 @ 0.60"
292,PDD,2025-08-14,2025-08-22,2025-10-17,110,C,3,2,10.75,2150,4000,2745,127.67,Closed,"Added 3 on 8/14 @ 10.75, Sold 1 on 8/22 @ 19.70, Sold 2 on 8/22 @ 20.00"
293,PDD,2025-08-14,2025-08-21,2025-08-29,120,P,1,1,8,800,365,-435,-54.37,Closed,"Added 1 on 8/14 @ 8.00, Sold 1 on 8/21 @ 3.65"
294,ZM,2025-08-14,2025-08-20,2025-10-17,65,C,2,2,9.15,1830,1780,-50,-2.73,Closed,"Added 2 on 8/14 @ 9.15, Sold 2 on 8/20 @ 8.90"
295,UNH,2025-08-15,2025-08-22,2026-01-16,320,C,2,2,21.9,4380,4740,870,19.86,Closed,"Added 2 on 8/15 @ 22.50, Sold 1 on 8/18 @ 27.60, Added 1 on 8/20 @ 21.30, Sold 2 on 8/22 @ 23.70"
296,BABA,2025-08-15,2025-08-22,2026-01-16,110,C,2,2,19.9,3980,4000,20,0.5,Closed,"Added 2 on 8/15 @ 19.90, Sold 2 on 8/22 @ 20.00"
297,BABA,2025-08-15,2025-08-20,2025-08-29,124,P,1,1,5.3,530,675,145,27.36,Closed,"Added 1 on 8/15 @ 5.30, Sold 1 on 8/20 @ 6.75"
298,SLV,2025-08-15,2025-08-22,2025-09-19,34,C,20,20,1.24,2480,3680,1200,48.39,Closed,"Added 20 on 8/15 @ 1.24, Sold 20 on 8/22 @ 1.84"
299,SLV,2025-08-15,2025-08-20,2025-09-19,34.5,P,8,8,0.94,752,696,-56,-7.45,Closed,"Added 10 on 8/15 @ 1.24, Sold 8 on 8/20 @ 0.87"
300,NTNX,2025-08-15,2025-08-22,2025-10-17,65,C,4,3,8.1,2430,2160,-390,-16.05,Closed,"Added 4 on 8/15 @ 8.10, Sold 1 on 8/21 @ 6.90, Sold 3 on 8/22 @ 7.20"
301,UNH,2025-08-15,2025-08-19,2025-08-29,295,P,1,1,5.55,555,430,-125,-22.52,Closed,"Added 1 on 8/15 @ 5.55, Sold 1 on 8/19 @ 4.30"
302,NTNX,2025-08-15,2025-08-20,2025-09-19,75,P,1,1,8,800,860,60,7.5,Closed,"Added 1 on 8/15 @ 8.00, Sold 1 on 8/20 @ 8.60"
303,TGT,2025-08-15,2025-08-20,2025-10-17,95,C,2,1,11.85,1185,620,-370,-31.22,Closed,"Added 2 on 8/15 @ 11.85, Sold 1 on 8/19 @ 13.80, Sold 1 on 8/20 @ 6.20"
304,TGT,2025-08-15,2025-08-19,2025-08-29,103,P,2,2,5,1000,780,-220,-22,Closed,"Added 2 on 8/15 @ 5.00, Sold 2 on 8/19 @ 3.90"
305,TSLA,2025-08-15,2025-08-22,2026-01-16,320,C,2,2,51.85,10370,10800,430,4.15,Closed,"Added 2 on 8/15 @ 51.85, Sold 2 on 8/22 @ 54.00"
306,TSLA,2025-08-15,2025-08-20,2025-09-19,320,P,2,1,12,1200,1710,310,25.83,Closed,"Added 2 on 8/15 @ 12.00, Sold 1 on 8/18 @ 10.00, Sold 1 on 8/20 @ 17.10"
307,RIVN,2025-08-15,2025-08-22,2025-10-17,11,C,48,12,1.88,2256,2544,324,14.36,Closed,"Added 48 on 8/15 @ 1.88, Sold 36 on 8/15 @ 1.89, Sold 12 on 8/22 @ 2.12"
308,AMZN,2025-08-15,2025-08-22,2026-01-16,220,C,2,2,24.9,4980,4500,-480,-9.64,Closed,"Added 2 on 8/15 @ 24.90, Sold 2 on 8/22 @ 22.50"
309,AMZN,2025-08-15,2025-08-19,2025-09-19,235,P,1,1,8.35,835,900,65,7.78,Closed,"Added 1 on 8/15 @ 8.35, Sold 1 on 8/19 @ 9.00"
310,RIOT,2025-08-18,2025-08-22,2026-01-16,12,C,12,9,2.15,1935,2835,948,48.99,Closed,"Added 12 contracts on 8/18 @ 2.15, Sold 3 on 8/19 @ 2.31, Sold 9 on 8/22 @ 3.15"
311,RKLB,2025-08-18,2025-08-19,2025-10-17,47,C,4,4,5.85,2340,1600,-740,-31.62,Closed,"Added 4 contracts on 8/18 @ 5.85, Sold 4 on 8/19 @ 4.00"
312,UBER,2025-08-18,2025-08-20,2025-10-17,87.5,C,3,2,8.75,1750,2670,115,6.57,Closed,"Added 3 contracts on 8/18 @ 8.75, Sold 1 on 8/19 @ 10.70, Sold 2 on 8/20 @ 8.35"
313,BMNR,2025-08-18,2025-08-22,2025-10-17,50,C,2,4,12.15,4860,5140,280,5.76,Closed,"Added 2 contracts on 8/18 @ 14.30, Added 2 on 8/19 @ 10.00, Sold 4 on 8/22 @ 12.85"
314,BRKB,2025-08-18,2025-08-22,2025-10-17,470,C,2,1,18.7,1870,2540,1600,85.56,Closed,"Added 2 contracts on 8/18 @ 18.70, Sold 1 on 8/20 @ 28.00, Sold 1 on 8/22 @ 25.40"
315,OSCR,2025-08-18,2025-08-20,2025-10-17,15,C,8,16,2.7,4320,3520,-800,-18.52,Closed,"Added 8 contracts on 8/18 @ 3.20, Added 8 on 8/20 @ 2.20, Sold 16 on 8/20 @ 2.20"
316,GOOGL,2025-08-18,2025-08-19,2025-09-19,207.5,C,4,4,5.55,2220,1740,-480,-21.62,Closed,"Added 4 contracts on 8/18 @ 5.55, Sold 4 on 8/19 @ 4.35"
