,Phoenix Trades - 25K-75K Challenge,,,,,,,,,,,,,,
Trade #,Ticker,Trade Enter,Trade Exit,Exp Date,Strike,C/P,Initial Contracts,# of Contracts,Average Cost/Option,$ Average Cost,Market Value,% Gain,$ Gain,Open/Closed,Notes
42,RIVN,9-Jun,12-Jun,20-Jun,15,P,3,3,$106.00 ,$318.00 ,$315.00 ,-0.94%,($3.00),Closed,
43,AMD,10-Jun,25-Jun,16-Jan,130,C,1,1,"$1,376.60 ","$1,376.60 ","$2,535.00 ",84.15%,"$1,158.40 ",Closed,
44,SHOP,10-Jun,12-Jun,20-Jun,110,P,1,1,$310.00 ,$310.00 ,$300.00 ,-3.23%,($10.00),Closed,
45,COIN,10-Jun,11-Jun,20-Jun,245,P,1,1,$330.00 ,$330.00 ,$475.00 ,43.94%,$145.00 ,Closed,
46,AMZN,10-Jun,11-Jun,20-Jun,217.5,P,1,1,$395.00 ,$395.00 ,$530.00 ,34.18%,$135.00 ,Closed,
47,SLV,10-Jun,12-Jun,20-Jun,33.5,P,2,2,$82.00 ,$164.00 ,$172.00 ,4.88%,$8.00 ,Closed,
48,HOOD,10-Jun,12-Jun,20-Jun,71,P,1,1,$218.00 ,$218.00 ,$138.00 ,-36.70%,($80.00),Closed,
49,BABA,10-Jun,11-Jun,15-Aug,125,C,1,1,$715.00 ,$715.00 ,$620.00 ,-13.29%,($95.00),Closed,
50,COIN,11-Jun,12-Jun,20-Jun,250,P,2,1,$705.00 ,$705.00 ,"$1,220.00 ",73.05%,$515.00 ,Closed,
51,COIN,11-Jun,12-Jun,27-Jun,252.5,C,1,1,$945.00 ,$945.00 ,$480.00 ,-49.21%,($465.00),Closed,
52,HOOD,12-Jun,11-Jul,16-Jan,80,C,2,1,"$1,625.00 ","$1,625.00 ","$2,885.00 ",77.54%,"$1,260.00 ",Closed,
53,QQQ,12-Jun,24-Jun,27-Jun,536,P,3,2,$894.50 ,"$1,789.00 ",$534.00 ,-70.15%,"($1,255.00)",Closed,
54,GLD,12-Jun,18-Jun,15-Aug,309,C,1,1,"$1,220.00 ","$1,220.00 ","$1,100.00 ",-9.84%,($120.00),Closed,
55,COST,12-Jun,,18-Jul,1040,C,1,1,"$1,190.00 ","$1,190.00 ",$880.00 ,-26.05%,($310.00),Closed,
56,COIN,12-Jun,,20-Jun,237.5,P,1,1,$435.00 ,$435.00 ,$0.00 ,-100.00%,($435.00),Closed,
57,CVNA,12-Jun,,18-Jul,310,P,1,1,"$1,410.00 ","$1,410.00 ","$2,380.00 ",68.79%,$970.00 ,Closed,
58,ANF,13-Jun,23-Jun,15-Aug,70,C,1,1,"$1,230.00 ","$1,230.00 ",$990.00 ,-19.51%,($240.00),Closed,
59,COIN,13-Jun,,15-Aug,250,C,1,1,"$1,790.00 ","$1,790.00 ","$6,960.00 ",288.83%,"$5,170.00 ",Closed,
60,SLV,13-Jun,,15-Aug,32,C,8,5,$210.00 ,"$1,050.00 ",$820.00 ,-21.90%,($230.00),Closed,
61,SLV,13-Jun,27-Jun,27-Jun,33.5,P,4,2,$102.00 ,$204.00 ,$134.00 ,-34.31%,($70.00),Closed,
62,PANW,17-Jun,18-Jun,15-Aug,200,C,2,2,"$1,125.00 ","$2,250.00 ","$2,030.00 ",-9.78%,($220.00),Closed,
63,RIVN,17-Jun,,15-Aug,12,C,7,7,$226.00 ,"$1,582.00 ","$1,232.00 ",-22.12%,($350.00),Closed,sold 7 on 07/08 at 1.76
64,AMZN,17-Jun,,15-Aug,210,C,1,1,"$1,540.00 ","$1,540.00 ","$1,200.00 ",-22.08%,($340.00),Closed,
